0.0000 44.4801 4294967295.//// -1.2163 13.6425 3.2604 -4294967295.////
0.6680 13.4840 0.0168 -11.9686 6.4575 2.0881 99.9347
0.7110 13.4840 0.0158 -11.9686 6.4575 2.0881 99.9386
0.6710 13.4840 0.0168 -11.9686 6.4575 2.0881 99.9350
0.6370 -1.2486 -0.0016 -9.5793 9.9100 -0.1260 100.0041
0.6110 -1.2486 -0.0017 -9.5793 9.9100 -0.1260 100.0043
0.5890 1.1878 0.0017 -1.2491 16.0075 0.0742 99.9974
0.5720 1.1878 0.0017 -1.2491 16.0075 0.0742 99.9973
0.5580 1.1878 0.0018 -1.2491 16.0075 0.0742 99.9972
0.5490 0.7452 0.0011 0.3083 17.1987 0.0433 99.9984
0.5360 0.7452 0.0012 0.3083 17.1987 0.0433 99.9983
0.5230 0.7452 0.0012 0.3083 17.1987 0.0433 99.9983
0.5070 0.6029 0.0010 1.1039 17.8025 0.0339 99.9986
0.4880 0.6029 0.0010 1.1039 17.8025 0.0339 99.9986
0.4680 0.6029 0.0011 1.1039 17.8025 0.0339 99.9985
0.4500 0.5235 0.0010 1.5255 18.1225 0.0289 99.9987
0.4300 0.5235 0.0010 1.5255 18.1225 0.0289 99.9986
0.4130 0.4555 0.0009 1.7499 18.2938 0.0249 99.9987
0.3970 0.4555 0.0010 1.7499 18.2938 0.0249 99.9987
0.3780 0.4555 0.0010 1.7499 18.2938 0.0249 99.9986
0.3640 0.4308 0.0010 1.8951 18.4037 0.0234 99.9987
0.3480 0.4308 0.0010 1.8951 18.4037 0.0234 99.9986
0.3350 0.4308 0.0011 1.8951 18.4037 0.0234 99.9985
0.3210 0.4142 0.0011 1.9974 18.4813 0.0224 99.9985
0.3090 0.4142 0.0011 1.9974 18.4813 0.0224 99.9985
0.2960 0.4142 0.0012 1.9974 18.4813 0.0224 99.9984
0.2840 0.3971 0.0012 2.0781 18.5425 0.0214 99.9984
0.2740 0.3971 0.0012 2.0781 18.5425 0.0214 99.9984
0.2650 0.3981 0.0013 2.1414 18.5900 0.0214 99.9983
0.2530 0.3981 0.0013 2.1414 18.5900 0.0214 99.9982
0.2440 0.3981 0.0014 2.1414 18.5900 0.0214 99.9982
0.2340 0.3897 0.0014 2.1942 18.6300 0.0209 99.9981
0.2260 0.3897 0.0014 2.1942 18.6300 0.0209 99.9981
0.2180 0.3897 0.0015 2.1942 18.6300 0.0209 99.9980
0.2100 0.3903 0.0015 2.2376 18.6625 0.0209 99.9979
0.2010 0.3903 0.0016 2.2376 18.6625 0.0209 99.9978
0.1960 0.3903 0.0017 2.2376 18.6625 0.0209 99.9978
0.1880 0.3816 0.0017 2.2738 18.6900 0.0204 99.9977
0.1830 0.3816 0.0017 2.2738 18.6900 0.0204 99.9977
0.1760 0.3816 0.0018 2.2738 18.6900 0.0204 99.9976
0.1700 0.3728 0.0018 2.3049 18.7138 0.0199 99.9976
0.1630 0.3728 0.0019 2.3049 18.7138 0.0199 99.9974
0.1590 0.3825 0.0020 2.3321 18.7337 0.0204 99.9973
0.1540 0.3825 0.0021 2.3321 18.7337 0.0204 99.9972
0.1490 0.3825 0.0021 2.3321 18.7337 0.0204 99.9971
0.1430 0.3829 0.0022 2.3554 18.7512 0.0204 99.9970
0.1380 0.3829 0.0023 2.3554 18.7512 0.0204 99.9969
0.1340 0.3829 0.0024 2.3554 18.7512 0.0204 99.9968
0.1280 0.3738 0.0024 2.3749 18.7663 0.0199 99.9967
0.1250 0.3738 0.0025 2.3749 18.7663 0.0199 99.9967
0.1220 0.3738 0.0026 2.3749 18.7663 0.0199 99.9966
0.1190 0.3741 0.0026 2.3933 18.7800 0.0199 99.9965
0.1150 0.3741 0.0027 2.3933 18.7800 0.0199 99.9964
0.1110 0.3743 0.0028 2.4099 18.7925 0.0199 99.9963
0.1080 0.3743 0.0029 2.4099 18.7925 0.0199 99.9961
0.1060 0.3743 0.0029 2.4099 18.7925 0.0199 99.9961
0.1020 0.3745 0.0031 2.4233 18.8025 0.0199 99.9959
0.1000 0.3745 0.0031 2.4233 18.8025 0.0199 99.9958
0.0970 0.3745 0.0032 2.4233 18.8025 0.0199 99.9957
0.0920 0.3841 0.0035 2.4354 18.8113 0.0204 99.9954
0.0910 0.3841 0.0035 2.4354 18.8113 0.0204 99.9953
0.0880 0.3841 0.0036 2.4354 18.8113 0.0204 99.9952
0.0850 0.3749 0.0037 2.4466 18.8200 0.0199 99.9951
0.0830 0.3749 0.0038 2.4466 18.8200 0.0199 99.9950
0.0810 0.3750 0.0039 2.4549 18.8263 0.0199 99.9949
0.0790 0.3750 0.0040 2.4549 18.8263 0.0199 99.9947
0.0770 0.3750 0.0041 2.4549 18.8263 0.0199 99.9946
0.0760 0.3658 0.0040 2.4628 18.8325 0.0194 99.9947
0.0730 0.3658 0.0042 2.4628 18.8325 0.0194 99.9944
0.0720 0.3658 0.0042 2.4628 18.8325 0.0194 99.9944
0.0700 0.3753 0.0045 2.4716 18.8388 0.0199 99.9941
0.0680 0.3753 0.0046 2.4716 18.8388 0.0199 99.9939
0.0660 0.3753 0.0047 2.4716 18.8388 0.0199 99.9937
0.0650 0.3754 0.0048 2.4783 18.8438 0.0199 99.9936
0.0640 0.3754 0.0049 2.4783 18.8438 0.0199 99.9935
0.0620 0.3755 0.0050 2.4866 18.8500 0.0199 99.9933
0.0620 0.3755 0.0050 2.4866 18.8500 0.0199 99.9933
