0.0000 44.1031 4294967295.//// -1.1217 13.7537 3.2066 -4294967295.//// 6342
0.9080 17.4940 0.0161 -10.5595 7.2775 2.4038 99.9447 6393
0.7540 17.4940 0.0193 -10.5595 7.2775 2.4038 99.9334 6443
0.7140 0.2899 0.0003 -12.9235 7.2775 0.0398 99.9988 6493
0.6780 0.4295 0.0005 -8.2518 10.7813 0.0398 99.9988 6543
0.6310 0.4295 0.0006 -8.2518 10.7813 0.0398 99.9987 6593
0.6000 1.0516 0.0015 -0.7758 16.3700 0.0642 99.9978 6643
0.5590 1.0516 0.0016 -0.7758 16.3700 0.0642 99.9976 6694
0.5280 1.0516 0.0017 -0.7758 16.3700 0.0642 99.9975 6744
0.4910 0.7155 0.0012 0.4547 17.3100 0.0413 99.9982 6794
0.4680 0.7155 0.0013 0.4547 17.3100 0.0413 99.9982 6844
0.4360 0.7155 0.0014 0.4547 17.3100 0.0413 99.9980 6894
0.4110 0.5864 0.0012 1.1545 17.8412 0.0329 99.9983 6944
0.3830 0.5864 0.0013 1.1545 17.8412 0.0329 99.9982 6994
0.3630 0.5864 0.0013 1.1545 17.8412 0.0329 99.9981 7044
0.3320 0.5146 0.0013 1.5334 18.1287 0.0284 99.9982 7094
0.3200 0.5146 0.0013 1.5334 18.1287 0.0284 99.9981 7144
0.2970 0.4552 0.0013 1.7332 18.2813 0.0249 99.9982 7194
0.2820 0.4552 0.0013 1.7332 18.2813 0.0249 99.9982 7244
0.2610 0.4552 0.0015 1.7332 18.2813 0.0249 99.9980 7294
0.2490 0.4301 0.0014 1.8584 18.3762 0.0234 99.9980 7344
0.2300 0.4301 0.0016 1.8584 18.3762 0.0234 99.9979 7394
0.2160 0.4301 0.0017 1.8584 18.3762 0.0234 99.9977 7444
0.2000 0.4133 0.0017 1.9457 18.4425 0.0224 99.9977 7494
0.1910 0.4133 0.0018 1.9457 18.4425 0.0224 99.9976 7544
0.1770 0.4133 0.0019 1.9457 18.4425 0.0224 99.9974 7594
0.1680 0.3960 0.0020 2.0131 18.4937 0.0214 99.9973 7644
0.1580 0.3960 0.0021 2.0131 18.4937 0.0214 99.9972 7694
0.1490 0.3969 0.0022 2.0664 18.5338 0.0214 99.9970 7745
0.1380 0.3969 0.0024 2.0664 18.5338 0.0214 99.9968 7795
0.1320 0.3969 0.0025 2.0664 18.5338 0.0214 99.9966 7845
0.1220 0.3883 0.0027 2.1076 18.5650 0.0209 99.9964 7895
0.1170 0.3883 0.0028 2.1076 18.5650 0.0209 99.9963 7945
0.1090 0.3883 0.0030 2.1076 18.5650 0.0209 99.9960 7995
0.1040 0.3888 0.0031 2.1393 18.5888 0.0209 99.9958 8045
0.0990 0.3888 0.0033 2.1393 18.5888 0.0209 99.9956 8095
0.0920 0.3888 0.0035 2.1393 18.5888 0.0209 99.9952 8145
0.0870 0.3800 0.0036 2.1671 18.6100 0.0204 99.9951 8195
0.0840 0.3800 0.0038 2.1671 18.6100 0.0204 99.9949 8245
0.0800 0.3800 0.0040 2.1671 18.6100 0.0204 99.9947 8295
0.0750 0.3803 0.0042 2.1871 18.6250 0.0204 99.9943 8345
0.0710 0.3803 0.0045 2.1871 18.6250 0.0204 99.9940 8395
0.0670 0.3806 0.0047 2.2054 18.6388 0.0204 99.9936 8445
0.0650 0.3806 0.0049 2.2054 18.6388 0.0204 99.9934 8495
0.0610 0.3806 0.0052 2.2054 18.6388 0.0204 99.9930 8545
0.0580 0.3808 0.0055 2.2204 18.6500 0.0204 99.9926 8595
0.0570 0.3808 0.0056 2.2204 18.6500 0.0204 99.9925 8645
0.0540 0.3808 0.0059 2.2204 18.6500 0.0204 99.9921 8695
0.0520 0.3717 0.0060 2.2333 18.6600 0.0199 99.9920 8745
0.0490 0.3717 0.0063 2.2333 18.6600 0.0199 99.9915 8795
0.0470 0.3717 0.0066 2.2333 18.6600 0.0199 99.9911 8845
0.0460 0.3719 0.0067 2.2466 18.6700 0.0199 99.9910 8895
0.0430 0.3719 0.0072 2.2466 18.6700 0.0199 99.9903 8945
0.0420 0.3815 0.0076 2.2638 18.6825 0.0204 99.9898 8995
0.0420 0.3815 0.0076 2.2638 18.6825 0.0204 99.9898 9045
0.0410 0.3815 0.0078 2.2638 18.6825 0.0204 99.9896 9095
0.0380 0.3817 0.0084 2.2804 18.6950 0.0204 99.9888 9145
0.0380 0.3817 0.0084 2.2804 18.6950 0.0204 99.9888 9195
0.0350 0.3817 0.0091 2.2804 18.6950 0.0204 99.9878 9246
0.0340 0.3727 0.0091 2.2966 18.7075 0.0199 99.9878 9296
