0.0000 45.7746 4294967295.//// 0.3400 13.7600 3.3266 -4294967295.//// 6342
0.6990 7.8861 9.4048 -9.5294 8.1250 0.9706 99.9710 6392
0.6610 7.8861 9.9455 -9.5294 8.1250 0.9706 99.9693 6442
0.6220 7.8861 10.5691 -9.5294 8.1250 0.9706 99.9674 6492
0.5860 1.3398 1.9060 0.3593 16.2075 0.0827 99.9971 6542
0.5520 1.3398 2.0234 0.3593 16.2075 0.0827 99.9969 6592
0.5190 0.7347 1.1800 1.5812 17.1537 0.0428 99.9983 6642
0.4890 0.7347 1.2524 1.5812 17.1537 0.0428 99.9982 6693
0.4600 0.7347 1.3314 1.5812 17.1537 0.0428 99.9981 6743
0.4310 0.6472 1.2518 2.1202 17.5625 0.0369 99.9982 6793
0.4050 0.6472 1.3322 2.1202 17.5625 0.0369 99.9981 6843
0.3810 0.6472 1.4161 2.1202 17.5625 0.0369 99.9980 6893
0.3560 0.5727 1.3410 2.6569 17.9688 0.0319 99.9981 6943
0.3340 0.5727 1.4294 2.6569 17.9688 0.0319 99.9980 6993
0.3140 0.5727 1.5204 2.6569 17.9688 0.0319 99.9979 7043
0.2950 0.5084 1.4365 2.9996 18.2288 0.0279 99.9980 7093
0.2750 0.5084 1.5410 2.9996 18.2288 0.0279 99.9979 7143
0.2590 0.4575 1.4725 3.1899 18.3738 0.0249 99.9980 7194
0.2430 0.4575 1.5695 3.1899 18.3738 0.0249 99.9979 7244
0.2270 0.4575 1.6801 3.1899 18.3738 0.0249 99.9977 7294
0.2140 0.4322 1.6836 3.3101 18.4650 0.0234 99.9977 7344
0.2010 0.4322 1.7924 3.3101 18.4650 0.0234 99.9976 7394
0.1880 0.4322 1.9164 3.3101 18.4650 0.0234 99.9974 7444
0.1780 0.4060 1.9015 3.3952 18.5300 0.0219 99.9974 7494
0.1680 0.4060 2.0147 3.3952 18.5300 0.0219 99.9973 7544
0.1580 0.4060 2.1422 3.3952 18.5300 0.0219 99.9971 7594
0.1510 0.3979 2.1965 3.4614 18.5800 0.0214 99.9970 7644
0.1430 0.3979 2.3194 3.4614 18.5800 0.0214 99.9969 7694
0.1340 0.3987 2.4803 3.5131 18.6187 0.0214 99.9967 7745
0.1270 0.3987 2.6170 3.5131 18.6187 0.0214 99.9965 7795
0.1210 0.3987 2.7468 3.5131 18.6187 0.0214 99.9963 7845
0.1150 0.3900 2.8273 3.5509 18.6475 0.0209 99.9962 7895
0.1110 0.3900 2.9291 3.5509 18.6475 0.0209 99.9961 7945
0.1050 0.3900 3.0965 3.5509 18.6475 0.0209 99.9958 7995
0.1000 0.3719 3.1000 3.5783 18.6688 0.0199 99.9958 8045
0.0960 0.3719 3.2292 3.5783 18.6688 0.0199 99.9957 8095
0.0920 0.3719 3.3696 3.5783 18.6688 0.0199 99.9955 8145
0.0870 0.3815 3.6558 3.6021 18.6863 0.0204 99.9951 8195
0.0830 0.3815 3.8320 3.6021 18.6863 0.0204 99.9949 8245
0.0800 0.3815 3.9757 3.6021 18.6863 0.0204 99.9947 8295
0.0760 0.3818 4.1883 3.6221 18.7013 0.0204 99.9944 8345
0.0740 0.3818 4.3015 3.6221 18.7013 0.0204 99.9942 8396
0.0700 0.3728 4.4393 3.6383 18.7138 0.0199 99.9941 8446
0.0680 0.3728 4.5699 3.6383 18.7138 0.0199 99.9939 8496
0.0650 0.3728 4.7808 3.6383 18.7138 0.0199 99.9936 8546
0.0630 0.3730 4.9355 3.6533 18.7250 0.0199 99.9934 8596
0.0600 0.3730 5.1823 3.6533 18.7250 0.0199 99.9931 8646
0.0570 0.3730 5.4551 3.6533 18.7250 0.0199 99.9927 8696
0.0550 0.3732 5.6564 3.6666 18.7350 0.0199 99.9924 8746
0.0530 0.3732 5.8699 3.6666 18.7350 0.0199 99.9921 8796
0.0510 0.3732 6.1001 3.6666 18.7350 0.0199 99.9918 8846
0.0510 0.3734 6.1029 3.6783 18.7437 0.0199 99.9918 8897
0.0490 0.3734 6.3520 3.6783 18.7437 0.0199 99.9915 8947
0.0480 0.3735 6.4870 3.6883 18.7512 0.0199 99.9913 8997
0.0450 0.3735 6.9194 3.6883 18.7512 0.0199 99.9908 9047
0.0450 0.3735 6.9194 3.6883 18.7512 0.0199 99.9908 9097
0.0430 0.3737 7.2446 3.6999 18.7600 0.0199 99.9903 9147
0.0410 0.3737 7.5980 3.6999 18.7600 0.0199 99.9898 9197
0.0410 0.3737 7.5980 3.6999 18.7600 0.0199 99.9898 9247
0.0400 0.3832 7.9859 3.7104 18.7675 0.0204 99.9893 9297
0.0390 0.3832 8.1907 3.7104 18.7675 0.0204 99.9891 9347
0.0380 0.3832 8.4062 3.7104 18.7675 0.0204 99.9888 9397
0.0370 0.3833 8.6368 3.7204 18.7750 0.0204 99.9885 9447
0.0350 0.3833 9.1304 3.7204 18.7750 0.0204 99.9878 9498
0.0350 0.3741 8.9101 3.7266 18.7800 0.0199 99.9881 9548
0.0330 0.3741 9.4501 3.7266 18.7800 0.0199 99.9874 9598
0.0330 0.3741 9.4501 3.7266 18.7800 0.0199 99.9874 9648
0.0330 0.3648 9.2156 3.7311 18.7838 0.0194 99.9877 9698
0.0320 0.3648 9.5036 3.7311 18.7838 0.0194 99.9873 9748
0.0310 0.3648 9.8102 3.7311 18.7838 0.0194 99.9869 9798
0.0300 0.3742 10.3985 3.7349 18.7862 0.0199 99.9861 9848
0.0290 0.3742 10.7571 3.7349 18.7862 0.0199 99.9856 9898
0.0280 0.3742 11.1413 3.7349 18.7862 0.0199 99.9851 9948
0.0280 0.3743 11.1435 3.7399 18.7900 0.0199 99.9851 9999
0.0280 0.3743 11.1435 3.7399 18.7900 0.0199 99.9851 10049
0.0270 0.3744 11.5601 3.7483 18.7962 0.0199 99.9846 10099
0.0270 0.3744 11.5601 3.7483 18.7962 0.0199 99.9846 10149
0.0250 0.3744 12.4849 3.7483 18.7962 0.0199 99.9834 10199
0.0250 0.3745 12.4882 3.7549 18.8013 0.0199 99.9834 10249
0.0250 0.3745 12.4882 3.7549 18.8013 0.0199 99.9834 10299
0.0240 0.3745 13.0085 3.7549 18.8013 0.0199 99.9827 10349
0.0230 0.3652 13.2374 3.7594 18.8050 0.0194 99.9824 10399
0.0240 0.3652 12.6859 3.7594 18.8050 0.0194 99.9831 10449
0.0220 0.3652 13.8391 3.7594 18.8050 0.0194 99.9816 10499
0.0230 0.3746 13.5786 3.7633 18.8075 0.0199 99.9819 10549
0.0220 0.3746 14.1958 3.7633 18.8075 0.0199 99.9811 10600
0.0210 0.3653 14.5000 3.7628 18.8075 0.0194 99.9807 10650
0.0220 0.3653 13.8419 3.7644 18.8088 0.0194 99.9816 10700
0.0210 0.3653 14.5010 3.7644 18.8088 0.0194 99.9807 10750
0.0210 0.3747 14.8758 3.7699 18.8125 0.0199 99.9802 10800
0.0200 0.3747 15.6196 3.7699 18.8125 0.0199 99.9792 10850
0.0200 0.3747 15.6196 3.7699 18.8125 0.0199 99.9792 10900
0.0180 0.3749 17.3609 3.7783 18.8188 0.0199 99.9769 10950
0.0180 0.3749 17.3609 3.7783 18.8188 0.0199 99.9769 11000
0.0190 0.3749 16.4471 3.7783 18.8188 0.0199 99.9781 11050
0.0190 0.3750 16.4526 3.7866 18.8250 0.0199 99.9781 11100
0.0180 0.3750 17.3666 3.7866 18.8250 0.0199 99.9769 11151
0.0190 0.3750 16.4526 3.7866 18.8250 0.0199 99.9781 11201
0.0180 0.3751 17.3712 3.7933 18.8300 0.0199 99.9769 11251
0.0180 0.3751 17.3712 3.7933 18.8300 0.0199 99.9769 11301
0.0180 0.3752 17.3747 3.7983 18.8337 0.0199 99.9769 11351
0.0170 0.3752 18.3967 3.7983 18.8337 0.0199 99.9755 11401
0.0190 0.3752 16.4602 3.7983 18.8337 0.0199 99.9781 11451
0.0180 0.3752 17.3782 3.8033 18.8375 0.0199 99.9769 11501
0.0180 0.3752 17.3782 3.8033 18.8375 0.0199 99.9769 11551
0.0170 0.3752 18.4004 3.8033 18.8375 0.0199 99.9755 11601
0.0170 0.3659 17.9440 3.8078 18.8412 0.0194 99.9761 11652
0.0170 0.3659 17.9440 3.8078 18.8412 0.0194 99.9761 11702
0.0170 0.3659 17.9440 3.8078 18.8412 0.0194 99.9761 11752
0.0160 0.3754 19.5582 3.8133 18.8450 0.0199 99.9740 11802
0.0160 0.3754 19.5582 3.8133 18.8450 0.0199 99.9740 11852
0.0150 0.3754 20.8649 3.8166 18.8475 0.0199 99.9723 11902
0.0140 0.3754 22.3552 3.8166 18.8475 0.0199 99.9703 11952
0.0160 0.3754 19.5608 3.8166 18.8475 0.0199 99.9740 12002
0.0150 0.3755 20.8676 3.8199 18.8500 0.0199 99.9723 12052
0.0140 0.3755 22.3582 3.8199 18.8500 0.0199 99.9703 12102
0.0140 0.3755 22.3582 3.8199 18.8500 0.0199 99.9703 12153
0.0160 0.3755 19.5660 3.8233 18.8525 0.0199 99.9740 12203
0.0140 0.3755 22.3611 3.8233 18.8525 0.0199 99.9703 12253
0.0150 0.3755 20.8704 3.8233 18.8525 0.0199 99.9723 12303
0.0160 0.3756 19.5673 3.8249 18.8538 0.0199 99.9740 12353
0.0160 0.3756 19.5673 3.8249 18.8538 0.0199 99.9740 12403
0.0150 0.3756 20.8745 3.8283 18.8563 0.0199 99.9723 12453
0.0140 0.3756 22.3656 3.8283 18.8563 0.0199 99.9703 12503
0.0140 0.3756 22.3656 3.8283 18.8563 0.0199 99.9703 12553
0.0150 0.3663 20.3540 3.8294 18.8575 0.0194 99.9729 12603
0.0120 0.3663 25.4425 3.8294 18.8575 0.0194 99.9662 12653
0.0140 0.3663 21.8079 3.8294 18.8575 0.0194 99.9710 12704
0.0130 0.3663 23.4885 3.8328 18.8600 0.0194 99.9688 12754
0.0130 0.3663 23.4885 3.8328 18.8600 0.0194 99.9688 12804
0.0140 0.3663 21.8108 3.8328 18.8600 0.0194 99.9710 12854
0.0150 0.3757 20.8815 3.8366 18.8625 0.0199 99.9723 12904
0.0140 0.3757 22.3730 3.8366 18.8625 0.0199 99.9703 12954
0.0130 0.3757 24.0940 3.8366 18.8625 0.0199 99.9680 13004
0.0130 0.3758 24.0956 3.8383 18.8638 0.0199 99.9680 13054
0.0120 0.3758 26.1036 3.8383 18.8638 0.0199 99.9653 13104
0.0140 0.3758 22.3774 3.8416 18.8662 0.0199 99.9703 13154
0.0130 0.3758 24.0988 3.8416 18.8662 0.0199 99.9680 13205
0.0130 0.3758 24.0988 3.8416 18.8662 0.0199 99.9680 13255
0.0120 0.3759 26.1105 3.8449 18.8687 0.0199 99.9653 13305
0.0120 0.3759 26.1105 3.8449 18.8687 0.0199 99.9653 13355
0.0110 0.3759 28.4841 3.8449 18.8687 0.0199 99.9622 13405
0.0120 0.3759 26.1139 3.8483 18.8713 0.0199 99.9653 13455
0.0120 0.3759 26.1139 3.8483 18.8713 0.0199 99.9653 13505
0.0120 0.3759 26.1139 3.8483 18.8713 0.0199 99.9653 13555
0.0130 0.3666 23.5057 3.8511 18.8738 0.0194 99.9688 13605
0.0110 0.3666 27.7794 3.8511 18.8738 0.0194 99.9631 13656
0.0100 0.3666 30.5634 3.8561 18.8775 0.0194 99.9594 13706
0.0110 0.3666 27.7849 3.8561 18.8775 0.0194 99.9631 13756
0.0120 0.3666 25.4695 3.8561 18.8775 0.0194 99.9662 13806
0.0110 0.3761 28.5011 3.8599 18.8800 0.0199 99.9622 13856
0.0100 0.3761 31.3512 3.8599 18.8800 0.0199 99.9584 13906
