0.0000 44.7256 4294967295.//// 0.3709 13.8575 3.2275 -4294967295.//// 6342
0.6350 11.2465 14.7640 -6.8952 9.9838 1.1265 99.9629 6392
0.4710 11.2465 19.9048 -6.8952 9.9838 1.1265 99.9500 6442
0.3630 11.2465 25.8269 -6.8952 9.9838 1.1265 99.9352 6492
0.2890 1.0931 3.1531 1.0736 16.7563 0.0652 99.9953 6543
0.2350 1.0931 3.8777 1.0736 16.7563 0.0652 99.9942 6593
0.1940 0.7285 3.1301 1.9268 17.4137 0.0418 99.9955 6643
0.1590 0.7285 3.8192 1.9268 17.4137 0.0418 99.9945 6693
0.1360 0.7285 4.4650 1.9268 17.4137 0.0418 99.9936 6743
0.0170 0.3811 18.6852 3.5704 18.6625 0.0204 99.9749 8412
0.0170 0.3721 18.2441 3.5899 18.6775 0.0199 99.9755 8463
0.0160 0.3721 19.3844 3.5899 18.6775 0.0199 99.9740 8513
0.0150 0.3721 20.6767 3.5899 18.6775 0.0199 99.9723 8563
0.0140 0.3816 22.7211 3.6054 18.6887 0.0204 99.9695 8613
0.0140 0.3816 22.7211 3.6054 18.6887 0.0204 99.9695 8663
0.0140 0.3818 22.7348 3.6204 18.7000 0.0204 99.9695 8713
0.0150 0.3818 21.2191 3.6204 18.7000 0.0204 99.9716 8763
0.0130 0.3818 24.4836 3.6204 18.7000 0.0204 99.9672 8813
0.0140 0.3727 22.1906 3.6316 18.7087 0.0199 99.9703 8863
0.0140 0.3727 22.1906 3.6316 18.7087 0.0199 99.9703 8913
0.0140 0.3727 22.1906 3.6316 18.7087 0.0199 99.9703 8963
0.0130 0.3729 23.9088 3.6433 18.7175 0.0199 99.9680 9014
0.0120 0.3729 25.9012 3.6433 18.7175 0.0199 99.9653 9064
0.0120 0.3729 25.9012 3.6433 18.7175 0.0199 99.9653 9114
0.0120 0.3823 26.5593 3.6538 18.7250 0.0204 99.9644 9164
0.0120 0.3823 26.5593 3.6538 18.7250 0.0204 99.9644 9214
0.0110 0.3730 28.2671 3.6533 18.7250 0.0199 99.9622 9264
0.0120 0.3731 25.9202 3.6616 18.7313 0.0199 99.9653 9314
0.0110 0.3731 28.2766 3.6616 18.7313 0.0199 99.9622 9364
0.0120 0.3732 25.9271 3.6683 18.7362 0.0199 99.9653 9414
0.0120 0.3732 25.9271 3.6683 18.7362 0.0199 99.9653 9464
0.0110 0.3732 28.2841 3.6683 18.7362 0.0199 99.9622 9515
0.0120 0.3827 26.5824 3.6754 18.7412 0.0204 99.9644 9565
0.0110 0.3827 28.9990 3.6754 18.7412 0.0204 99.9612 9615
0.0100 0.3827 31.8989 3.6754 18.7412 0.0204 99.9573 9665
0.0100 0.3734 31.1271 3.6799 18.7450 0.0199 99.9584 9715
0.0090 0.3734 34.5856 3.6799 18.7450 0.0199 99.9538 9765
0.0110 0.3734 28.2973 3.6799 18.7450 0.0199 99.9622 9815
0.0100 0.3641 30.3550 3.6844 18.7488 0.0194 99.9594 9865
0.0090 0.3641 33.7277 3.6844 18.7488 0.0194 99.9549 9915
0.0110 0.3735 28.3087 3.6899 18.7525 0.0199 99.9622 9965
0.0100 0.3735 31.1395 3.6899 18.7525 0.0199 99.9584 10015
0.0110 0.3735 28.3087 3.6899 18.7525 0.0199 99.9622 10066
0.0090 0.3736 34.6041 3.6933 18.7550 0.0199 99.9538 10116
0.0100 0.3736 31.1437 3.6933 18.7550 0.0199 99.9584 10166
0.0090 0.3736 34.6041 3.6933 18.7550 0.0199 99.9538 10216
0.0100 0.3736 31.1458 3.6949 18.7563 0.0199 99.9584 10266
0.0090 0.3736 34.6064 3.6949 18.7563 0.0199 99.9538 10316
0.0080 0.3736 38.9322 3.6949 18.7563 0.0199 99.9480 10366
0.0090 0.3737 34.6110 3.6983 18.7588 0.0199 99.9538 10416
0.0080 0.3737 38.9374 3.6983 18.7588 0.0199 99.9480 10466
0.0080 0.3737 38.9400 3.6999 18.7600 0.0199 99.9480 10516
0.0090 0.3737 34.6133 3.6999 18.7600 0.0199 99.9538 10566
0.0080 0.3737 38.9400 3.6999 18.7600 0.0199 99.9480 10617
0.0090 0.3737 34.6156 3.7016 18.7612 0.0199 99.9538 10667
0.0090 0.3737 34.6156 3.7016 18.7612 0.0199 99.9538 10717
0.0080 0.3737 38.9426 3.7016 18.7612 0.0199 99.9480 10767
0.0090 0.3644 33.7525 3.7028 18.7625 0.0194 99.9549 10817
0.0070 0.3644 43.3960 3.7028 18.7625 0.0194 99.9420 10867
0.0070 0.3644 43.3960 3.7028 18.7625 0.0194 99.9420 10917
