pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags
2018-03-31 14:59:15.783063,2018-03-31 18:59:33.800000,586773.800,36.4815606613,-77.5799477120,-3.7255,0.0160,0.0460,12,4
2018-03-31 14:59:15.876791,2018-03-31 18:59:33.900000,586773.900,36.4815606421,-77.5799476872,-3.7270,0.0160,0.0460,12,4
2018-03-31 14:59:15.990870,2018-03-31 18:59:34.000000,586774.000,36.4815606533,-77.5799477027,-3.7225,0.0160,0.0460,12,4
2018-03-31 14:59:16.078271,2018-03-31 18:59:34.100000,586774.100,36.4815606335,-77.5799476944,-3.7166,0.0170,0.0470,12,4
2018-03-31 14:59:16.191745,2018-03-31 18:59:34.200000,586774.200,36.4815606431,-77.5799477256,-3.7264,0.0170,0.0470,12,4
2018-03-31 14:59:16.283253,2018-03-31 18:59:34.300000,586774.300,36.4815606483,-77.5799477193,-3.7293,0.0170,0.0480,12,4
2018-03-31 14:59:16.388314,2018-03-31 18:59:34.400000,586774.400,36.4815606421,-77.5799477042,-3.7207,0.0170,0.0480,12,4
2018-03-31 14:59:16.475473,2018-03-31 18:59:34.500000,586774.500,36.4815606465,-77.5799476782,-3.7323,0.0180,0.0490,12,4
2018-03-31 14:59:16.589945,2018-03-31 18:59:34.600000,586774.600,36.4815606237,-77.5799477017,-3.7197,0.0180,0.0490,12,4
2018-03-31 14:59:16.678012,2018-03-31 18:59:34.700000,586774.700,36.4815606617,-77.5799477116,-3.7338,0.0180,0.0490,12,4
2018-03-31 14:59:16.791890,2018-03-31 18:59:34.800000,586774.800,36.4815606541,-77.5799477052,-3.7286,0.0180,0.0500,12,4
2018-03-31 14:59:16.878521,2018-03-31 18:59:34.900000,586774.900,36.4815606557,-77.5799477339,-3.7285,0.0180,0.0500,12,4
2018-03-31 14:59:16.994210,2018-03-31 18:59:35.000000,586775.000,36.4815606436,-77.5799477053,-3.7291,0.0180,0.0500,12,4
2018-03-31 14:59:17.078972,2018-03-31 18:59:35.100000,586775.100,36.4815606494,-77.5799477199,-3.7215,0.0190,0.0510,12,4
2018-03-31 14:59:17.189830,2018-03-31 18:59:35.200000,586775.200,36.4815606579,-77.5799477073,-3.7300,0.0190,0.0510,12,4
2018-03-31 14:59:17.279504,2018-03-31 18:59:35.300000,586775.300,36.4815606973,-77.5799477310,-3.7275,0.0190,0.0510,12,4
2018-03-31 14:59:17.389770,2018-03-31 18:59:35.400000,586775.400,36.4815607667,-77.5799477279,-3.7252,0.0190,0.0520,12,4
2018-03-31 14:59:17.479156,2018-03-31 18:59:35.500000,586775.500,36.4815608922,-77.5799477637,-3.7163,0.0190,0.0520,12,4
2018-03-31 14:59:17.588994,2018-03-31 18:59:35.600000,586775.600,36.4815610553,-77.5799478501,-3.7360,0.0200,0.0520,12,4
2018-03-31 14:59:17.679054,2018-03-31 18:59:35.700000,586775.700,36.4815611918,-77.5799478710,-3.7422,0.0160,0.0440,12,4
2018-03-31 14:59:17.788129,2018-03-31 18:59:35.800000,586775.800,36.4815614146,-77.5799479420,-3.7496,0.0160,0.0450,12,4
2018-03-31 14:59:17.878668,2018-03-31 18:59:35.900000,586775.900,36.4815616573,-77.5799479774,-3.7431,0.0160,0.0450,12,4
2018-03-31 14:59:17.986354,2018-03-31 18:59:36.000000,586776.000,36.4815620669,-77.5799480683,-3.7417,0.0160,0.0460,12,4
2018-03-31 14:59:18.077019,2018-03-31 18:59:36.100000,586776.100,36.4815625024,-77.5799481704,-3.7483,0.0170,0.0460,12,4
2018-03-31 14:59:18.187343,2018-03-31 18:59:36.200000,586776.200,36.4815630957,-77.5799483471,-3.7394,0.0170,0.0470,12,4
2018-03-31 14:59:18.278130,2018-03-31 18:59:36.300000,586776.300,36.4815637530,-77.5799484340,-3.7382,0.0170,0.0470,12,4
2018-03-31 14:59:18.385812,2018-03-31 18:59:36.400000,586776.400,36.4815645868,-77.5799486042,-3.7282,0.0170,0.0470,12,4
2018-03-31 14:59:18.478729,2018-03-31 18:59:36.500000,586776.500,36.4815655990,-77.5799488040,-3.7170,0.0170,0.0480,12,4
2018-03-31 14:59:18.588754,2018-03-31 18:59:36.600000,586776.600,36.4815667120,-77.5799488937,-3.7070,0.0180,0.0480,12,4
2018-03-31 14:59:18.677834,2018-03-31 18:59:36.700000,586776.700,36.4815678720,-77.5799489659,-3.7103,0.0180,0.0490,12,4
2018-03-31 14:59:18.788391,2018-03-31 18:59:36.800000,586776.800,36.4815692020,-77.5799490529,-3.7091,0.0180,0.0490,12,4
2018-03-31 14:59:18.883920,2018-03-31 18:59:36.900000,586776.900,36.4815706735,-77.5799491764,-3.7212,0.0180,0.0490,12,4
2018-03-31 14:59:18.988438,2018-03-31 18:59:37.000000,586777.000,36.4815723028,-77.5799491693,-3.7194,0.0180,0.0500,12,4
2018-03-31 14:59:19.085047,2018-03-31 18:59:37.100000,586777.100,36.4815741387,-77.5799489956,-3.7175,0.0190,0.0500,12,4
2018-03-31 14:59:19.189710,2018-03-31 18:59:37.200000,586777.200,36.4815761961,-77.5799486714,-3.7134,0.0190,0.0500,12,4
2018-03-31 14:59:19.279991,2018-03-31 18:59:37.300000,586777.300,36.4815785734,-77.5799483612,-3.7106,0.0190,0.0510,12,4
2018-03-31 14:59:19.386731,2018-03-31 18:59:37.400000,586777.400,36.4815811028,-77.5799479118,-3.7143,0.0190,0.0510,12,4
2018-03-31 14:59:19.480293,2018-03-31 18:59:37.500000,586777.500,36.4815838124,-77.5799472155,-3.7260,0.0190,0.0510,12,4
2018-03-31 14:59:19.579007,2018-03-31 18:59:37.600000,586777.600,36.4815867693,-77.5799463607,-3.7163,0.0190,0.0520,12,4
2018-03-31 14:59:19.676292,2018-03-31 18:59:37.700000,586777.700,36.4815898587,-77.5799453908,-3.7072,0.0160,0.0440,12,4
2018-03-31 14:59:19.783510,2018-03-31 18:59:37.800000,586777.800,36.4815931609,-77.5799443096,-3.7243,0.0160,0.0450,12,4
2018-03-31 14:59:19.876044,2018-03-31 18:59:37.900000,586777.900,36.4815965973,-77.5799430929,-3.7255,0.0160,0.0450,12,4
2018-03-31 14:59:19.986220,2018-03-31 18:59:38.000000,586778.000,36.4816001687,-77.5799417985,-3.7237,0.0160,0.0460,12,4
