pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags
2018-06-19 11:04:46.467000,2018-06-19 15:05:2.800000,227102.800,35.3259664974,-78.5109718933,35.6875,0.0100,0.0230,16,4
2018-06-19 11:04:46.531000,2018-06-19 15:05:2.900000,227102.900,35.3259665004,-78.5109718871,35.6875,0.0100,0.0230,16,4
2018-06-19 11:04:46.629000,2018-06-19 15:05:3.000000,227103.000,35.3259664939,-78.5109718870,35.6876,0.0100,0.0230,16,4
2018-06-19 11:04:46.700000,2018-06-19 15:05:3.100000,227103.100,35.3259664883,-78.5109718741,35.6956,0.0080,0.0180,16,4
2018-06-19 11:04:46.765000,2018-06-19 15:05:3.200000,227103.200,35.3259664912,-78.5109718752,35.6952,0.0080,0.0180,16,4
2018-06-19 11:04:46.814000,2018-06-19 15:05:3.300000,227103.300,35.3259664962,-78.5109718773,35.6950,0.0080,0.0180,16,4
2018-06-19 11:04:46.891000,2018-06-19 15:05:3.400000,227103.400,35.3259664819,-78.5109718586,35.6949,0.0080,0.0190,16,4
2018-06-19 11:04:46.944000,2018-06-19 15:05:3.500000,227103.500,35.3259664875,-78.5109718774,35.6964,0.0080,0.0190,16,4
2018-06-19 11:04:47.046000,2018-06-19 15:05:3.600000,227103.600,35.3259664850,-78.5109718747,35.6964,0.0080,0.0190,16,4
2018-06-19 11:04:47.081000,2018-06-19 15:05:3.700000,227103.700,35.3259664785,-78.5109718606,35.6977,0.0080,0.0200,16,4
2018-06-19 11:04:47.131000,2018-06-19 15:05:3.800000,227103.800,35.3259664862,-78.5109718755,35.6947,0.0080,0.0200,16,4
2018-06-19 11:04:47.164000,2018-06-19 15:05:3.900000,227103.900,35.3259664818,-78.5109718865,35.6956,0.0090,0.0200,16,4
2018-06-19 11:04:47.239000,2018-06-19 15:05:4.000000,227104.000,35.3259664805,-78.5109718775,35.6971,0.0090,0.0210,16,4
2018-06-19 11:04:47.304000,2018-06-19 15:05:4.100000,227104.100,35.3259664827,-78.5109718817,35.6977,0.0090,0.0210,16,4
2018-06-19 11:04:47.391000,2018-06-19 15:05:4.200000,227104.200,35.3259664856,-78.5109718745,35.6969,0.0090,0.0210,16,4
2018-06-19 11:04:47.460000,2018-06-19 15:05:4.300000,227104.300,35.3259664814,-78.5109718727,35.6940,0.0090,0.0210,16,4
2018-06-19 11:04:47.566000,2018-06-19 15:05:4.400000,227104.400,35.3259664646,-78.5109718898,35.6978,0.0090,0.0220,16,4
2018-06-19 11:04:47.618000,2018-06-19 15:05:4.500000,227104.500,35.3259664542,-78.5109718995,35.6992,0.0090,0.0220,16,4
2018-06-19 11:04:47.705000,2018-06-19 15:05:4.600000,227104.600,35.3259664350,-78.5109719475,35.6970,0.0090,0.0220,16,4
2018-06-19 11:04:47.753000,2018-06-19 15:05:4.700000,227104.700,35.3259663666,-78.5109720397,35.6978,0.0090,0.0220,16,4
2018-06-19 11:04:47.833000,2018-06-19 15:05:4.800000,227104.800,35.3259663070,-78.5109722130,35.6972,0.0100,0.0230,16,4
2018-06-19 11:04:47.885000,2018-06-19 15:05:4.900000,227104.900,35.3259661871,-78.5109723891,35.6973,0.0100,0.0230,16,4
2018-06-19 11:04:47.954000,2018-06-19 15:05:5.000000,227105.000,35.3259660497,-78.5109725937,35.7014,0.0100,0.0230,16,4
2018-06-19 11:04:48.019000,2018-06-19 15:05:5.100000,227105.100,35.3259659011,-78.5109728170,35.6987,0.0080,0.0180,16,4
2018-06-19 11:04:48.087000,2018-06-19 15:05:5.200000,227105.200,35.3259657126,-78.5109731015,35.6973,0.0080,0.0180,16,4
2018-06-19 11:04:48.136000,2018-06-19 15:05:5.300000,227105.300,35.3259655185,-78.5109734296,35.6978,0.0080,0.0180,16,4
2018-06-19 11:04:48.221000,2018-06-19 15:05:5.400000,227105.400,35.3259653019,-78.5109737788,35.6972,0.0080,0.0190,16,4
2018-06-19 11:04:48.267000,2018-06-19 15:05:5.500000,227105.500,35.3259650571,-78.5109741292,35.6961,0.0080,0.0190,16,4
2018-06-19 11:04:48.478000,2018-06-19 15:05:5.600000,227105.600,35.3259647581,-78.5109745366,35.6988,0.0080,0.0190,16,4
2018-06-19 11:04:48.520000,2018-06-19 15:05:5.700000,227105.700,35.3259644438,-78.5109750022,35.6984,0.0080,0.0200,16,4
2018-06-19 11:04:48.584000,2018-06-19 15:05:5.800000,227105.800,35.3259641375,-78.5109754495,35.6993,0.0080,0.0200,16,4
2018-06-19 11:04:48.645000,2018-06-19 15:05:5.900000,227105.900,35.3259638125,-78.5109759016,35.6981,0.0090,0.0200,16,4
2018-06-19 11:04:48.722000,2018-06-19 15:05:6.000000,227106.000,35.3259634349,-78.5109763992,35.6979,0.0090,0.0210,16,4
