pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags
2018-06-02 18:22:36.597000,2018-06-02 22:22:55.400000,598975.400,36.0016786554,-78.9464424634,77.5005,0.0190,0.0360,9,4
2018-06-02 18:22:36.678000,2018-06-02 22:22:55.500000,598975.500,36.0016786394,-78.9464424558,77.4960,0.0190,0.0360,9,4
2018-06-02 18:22:36.755000,2018-06-02 22:22:55.600000,598975.600,36.0016786559,-78.9464424599,77.5005,0.0200,0.0370,9,4
2018-06-02 18:22:36.895000,2018-06-02 22:22:55.700000,598975.700,36.0016786358,-78.9464424545,77.4986,0.0200,0.0380,9,4
2018-06-02 18:22:36.968000,2018-06-02 22:22:55.800000,598975.800,36.0016786936,-78.9464424998,77.5207,0.0170,0.0320,9,4
2018-06-02 18:22:37.032000,2018-06-02 22:22:55.900000,598975.900,36.0016786856,-78.9464424857,77.5205,0.0170,0.0320,9,4
2018-06-02 18:22:37.106000,2018-06-02 22:22:56.000000,598976.000,36.0016786642,-78.9464424970,77.5244,0.0170,0.0330,9,4
2018-06-02 18:22:37.183000,2018-06-02 22:22:56.100000,598976.100,36.0016786787,-78.9464424856,77.5225,0.0180,0.0340,9,4
2018-06-02 18:22:37.345000,2018-06-02 22:22:56.200000,598976.200,36.0016786745,-78.9464424764,77.5274,0.0180,0.0340,9,4
2018-06-02 18:22:37.417000,2018-06-02 22:22:56.300000,598976.300,36.0016786891,-78.9464424830,77.5258,0.0180,0.0350,9,4
2018-06-02 18:22:37.516000,2018-06-02 22:22:56.400000,598976.400,36.0016786670,-78.9464424859,77.5260,0.0190,0.0360,9,4
2018-06-02 18:22:37.582000,2018-06-02 22:22:56.500000,598976.500,36.0016786561,-78.9464424931,77.5203,0.0190,0.0360,9,4
2018-06-02 18:22:37.731000,2018-06-02 22:22:56.600000,598976.600,36.0016786508,-78.9464425071,77.5198,0.0200,0.0370,9,4
2018-06-02 18:22:37.806000,2018-06-02 22:22:56.700000,598976.700,36.0016786170,-78.9464425104,77.5207,0.0200,0.0380,9,4
2018-06-02 18:22:37.888000,2018-06-02 22:22:56.800000,598976.800,36.0016785887,-78.9464425302,77.5202,0.0170,0.0320,9,4
2018-06-02 18:22:37.984000,2018-06-02 22:22:56.900000,598976.900,36.0016784817,-78.9464425754,77.5148,0.0170,0.0320,9,4
2018-06-02 18:22:38.111000,2018-06-02 22:22:57.000000,598977.000,36.0016784183,-78.9464426299,77.5061,0.0170,0.0330,9,4
2018-06-02 18:22:38.186000,2018-06-02 22:22:57.100000,598977.100,36.0016783395,-78.9464426746,77.5193,0.0180,0.0340,9,4
2018-06-02 18:22:38.321000,2018-06-02 22:22:57.200000,598977.200,36.0016782250,-78.9464427561,77.5168,0.0180,0.0340,9,4
2018-06-02 18:22:38.409000,2018-06-02 22:22:57.300000,598977.300,36.0016781723,-78.9464428326,77.5145,0.0180,0.0350,9,4
2018-06-02 18:22:38.534000,2018-06-02 22:22:57.400000,598977.400,36.0016780318,-78.9464429283,77.5139,0.0190,0.0360,9,4
2018-06-02 18:22:38.605000,2018-06-02 22:22:57.500000,598977.500,36.0016778607,-78.9464430226,77.5148,0.0190,0.0360,9,4
2018-06-02 18:22:38.692000,2018-06-02 22:22:57.600000,598977.600,36.0016777902,-78.9464431318,77.5182,0.0200,0.0370,9,4
2018-06-02 18:22:38.861000,2018-06-02 22:22:57.700000,598977.700,36.0016776294,-78.9464432688,77.5167,0.0200,0.0380,9,4
2018-06-02 18:22:38.941000,2018-06-02 22:22:57.800000,598977.800,36.0016774541,-78.9464434251,77.5202,0.0170,0.0320,9,4
2018-06-02 18:22:39.004000,2018-06-02 22:22:57.900000,598977.900,36.0016772454,-78.9464436224,77.5243,0.0170,0.0320,9,4
2018-06-02 18:22:39.117000,2018-06-02 22:22:58.000000,598978.000,36.0016769612,-78.9464438505,77.5226,0.0170,0.0330,9,4
2018-06-02 18:22:39.192000,2018-06-02 22:22:58.100000,598978.100,36.0016767293,-78.9464441368,77.5271,0.0180,0.0340,9,4
2018-06-02 18:22:39.327000,2018-06-02 22:22:58.200000,598978.200,36.0016764555,-78.9464444729,77.5261,0.0180,0.0340,9,4
2018-06-02 18:22:39.424000,2018-06-02 22:22:58.300000,598978.300,36.0016762157,-78.9464448151,77.5266,0.0180,0.0350,9,4
2018-06-02 18:22:39.522000,2018-06-02 22:22:58.400000,598978.400,36.0016758700,-78.9464452125,77.5326,0.0190,0.0360,9,4
2018-06-02 18:22:39.590000,2018-06-02 22:22:58.500000,598978.500,36.0016755776,-78.9464456608,77.5459,0.0190,0.0360,9,4
2018-06-02 18:22:39.716000,2018-06-02 22:22:58.600000,598978.600,36.0016751924,-78.9464461989,77.5556,0.0200,0.0370,9,4
2018-06-02 18:22:39.819000,2018-06-02 22:22:58.700000,598978.700,36.0016748434,-78.9464467833,77.5583,0.0200,0.0380,9,4
2018-06-02 18:22:39.917000,2018-06-02 22:22:58.800000,598978.800,36.0016745168,-78.9464474735,77.5566,0.0170,0.0320,9,4
2018-06-02 18:22:39.979000,2018-06-02 22:22:58.900000,598978.900,36.0016741024,-78.9464481898,77.5640,0.0170,0.0320,9,4
2018-06-02 18:22:40.097000,2018-06-02 22:22:59.000000,598979.000,36.0016736097,-78.9464490326,77.5685,0.0170,0.0330,9,4
2018-06-02 18:22:40.185000,2018-06-02 22:22:59.100000,598979.100,36.0016731670,-78.9464499349,77.5690,0.0180,0.0340,9,4
2018-06-02 18:22:40.363000,2018-06-02 22:22:59.200000,598979.200,36.0016726553,-78.9464509101,77.5786,0.0180,0.0340,9,4
2018-06-02 18:22:40.461000,2018-06-02 22:22:59.300000,598979.300,36.0016721424,-78.9464520021,77.5867,0.0180,0.0350,9,4
2018-06-02 18:22:40.503000,2018-06-02 22:22:59.400000,598979.400,36.0016715938,-78.9464531873,77.5744,0.0190,0.0360,9,4
2018-06-02 18:22:40.588000,2018-06-02 22:22:59.500000,598979.500,36.0016711072,-78.9464544420,77.5825,0.0190,0.0360,9,4
2018-06-02 18:22:40.720000,2018-06-02 22:22:59.600000,598979.600,36.0016706433,-78.9464557760,77.5921,0.0200,0.0370,9,4
2018-06-02 18:22:40.854000,2018-06-02 22:22:59.700000,598979.700,36.0016701170,-78.9464572119,77.6038,0.0200,0.0380,9,4
2018-06-02 18:22:40.928000,2018-06-02 22:22:59.800000,598979.800,36.0016696335,-78.9464587330,77.6205,0.0170,0.0320,9,4
2018-06-02 18:22:40.997000,2018-06-02 22:22:59.900000,598979.900,36.0016692156,-78.9464602980,77.6182,0.0170,0.0320,9,4
2018-06-02 18:22:41.121000,2018-06-02 22:23:0.000000,598980.000,36.0016687751,-78.9464619486,77.6252,0.0170,0.0330,9,4
2018-06-02 18:22:41.179000,2018-06-02 22:23:0.100000,598980.100,36.0016683916,-78.9464637114,77.6348,0.0180,0.0340,9,4
