pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags
48:53.5,49:12.0,528552,38.1601366,-122.4532082,-22.0129,0.026,0.057,12,4
48:53.6,49:12.1,528552.1,38.16013662,-122.4532082,-22.0011,0.026,0.057,12,4
48:53.7,49:12.2,528552.2,38.16013664,-122.4532082,-22.0061,0.026,0.058,12,4
48:53.8,49:12.3,528552.3,38.16013662,-122.4532082,-22.0024,0.027,0.058,12,4
48:53.9,49:12.4,528552.4,38.16013664,-122.4532082,-21.9947,0.027,0.059,12,4
48:54.0,49:12.5,528552.5,38.16013663,-122.4532081,-22.0054,0.027,0.059,12,4
48:54.1,49:12.6,528552.6,38.16013664,-122.4532081,-22.0035,0.027,0.06,12,4
48:54.2,49:12.7,528552.7,38.16013674,-122.4532082,-21.9941,0.022,0.048,12,4
48:54.3,49:12.8,528552.8,38.16013674,-122.4532082,-21.9911,0.022,0.049,12,4
48:54.4,49:12.9,528552.9,38.16013671,-122.4532082,-21.9951,0.022,0.05,12,4
48:54.5,49:13.0,528553,38.16013673,-122.4532082,-21.9956,0.023,0.05,12,4
48:54.6,49:13.1,528553.1,38.16013675,-122.4532082,-21.9974,0.023,0.051,12,4
48:54.7,49:13.2,528553.2,38.16013673,-122.4532082,-21.9927,0.024,0.052,12,4
48:54.8,49:13.3,528553.3,38.16013675,-122.4532082,-21.9874,0.024,0.052,12,4
48:54.9,49:13.4,528553.4,38.16013674,-122.4532082,-21.9836,0.024,0.053,12,4
48:55.0,49:13.5,528553.5,38.16013668,-122.4532082,-21.9513,0.024,0.053,12,4
48:55.1,49:13.6,528553.6,38.16013666,-122.4532082,-21.9636,0.025,0.054,12,4
48:55.2,49:13.7,528553.7,38.16013669,-122.4532082,-21.9757,0.025,0.055,12,4
48:55.3,49:13.8,528553.8,38.16013673,-122.4532081,-21.9941,0.026,0.059,12,4
48:55.4,49:13.9,528553.9,38.1601367,-122.4532081,-21.9929,0.026,0.06,12,4
48:55.5,49:14.0,528554,38.16013665,-122.4532082,-22.0176,0.026,0.06,12,4
48:55.6,49:14.1,528554.1,38.16013668,-122.4532082,-22.0141,0.026,0.061,12,4
48:55.7,49:14.2,528554.2,38.16013659,-122.4532083,-21.9845,0.027,0.061,12,4
48:55.8,49:14.3,528554.3,38.16013666,-122.4532082,-22.0151,0.027,0.063,12,4
48:55.9,49:14.4,528554.4,38.1601367,-122.4532082,-22.009,0.027,0.063,12,4
48:56.0,49:14.5,528554.5,38.16013672,-122.4532083,-21.9993,0.028,0.063,12,4
48:56.1,49:14.6,528554.6,38.16013675,-122.4532084,-22.0007,0.028,0.064,12,4
48:56.2,49:14.7,528554.7,38.16013692,-122.4532083,-22.0233,0.028,0.065,12,4
48:56.3,49:14.8,528554.8,38.16013706,-122.4532083,-22.0152,0.022,0.052,12,4
48:56.4,49:14.9,528554.9,38.16013713,-122.4532083,-22.0186,0.023,0.053,12,4
48:56.5,49:15.0,528555,38.1601372,-122.4532085,-22.0251,0.023,0.053,12,4
48:56.6,49:15.1,528555.1,38.16013732,-122.4532085,-22.0272,0.024,0.054,12,4
48:56.7,49:15.2,528555.2,38.16013747,-122.4532086,-22.0314,0.024,0.055,12,4
48:56.8,49:15.3,528555.3,38.16013766,-122.4532087,-22.0262,0.024,0.056,12,4
48:56.9,49:15.4,528555.4,38.16013785,-122.4532088,-22.0234,0.025,0.056,12,4
48:57.0,49:15.5,528555.5,38.1601381,-122.4532088,-22.0134,0.025,0.057,12,4
48:57.1,49:15.6,528555.6,38.16013837,-122.4532089,-22.0111,0.025,0.058,12,4
48:57.2,49:15.7,528555.7,38.16013857,-122.4532091,-22.0098,0.026,0.059,12,4
48:57.3,49:15.8,528555.8,38.16013882,-122.4532093,-22.0096,0.026,0.059,12,4
48:57.4,49:15.9,528555.9,38.16013909,-122.4532094,-22.0149,0.026,0.06,12,4
48:57.5,49:16.0,528556,38.16013931,-122.4532095,-22.0218,0.027,0.061,12,4
48:57.6,49:16.1,528556.1,38.16013955,-122.4532096,-22.017,0.027,0.061,12,4
48:57.7,49:16.2,528556.2,38.16013972,-122.4532096,-22.0147,0.027,0.062,12,4
48:57.8,49:16.3,528556.3,38.16013978,-122.4532097,-22.0318,0.027,0.062,12,4
48:57.9,49:16.4,528556.4,38.16013982,-122.4532097,-22.0317,0.028,0.063,12,4
48:58.0,49:16.5,528556.5,38.16013986,-122.4532097,-22.0093,0.028,0.064,12,4
48:58.1,49:16.6,528556.6,38.16013989,-122.4532098,-22.0078,0.028,0.064,12,4
48:58.2,49:16.7,528556.7,38.16014001,-122.4532098,-22.0171,0.022,0.051,12,4
48:58.3,49:16.8,528556.8,38.16014005,-122.4532099,-22.0186,0.023,0.052,12,4
48:58.4,49:16.9,528556.9,38.16014008,-122.4532099,-22.0167,0.023,0.053,12,4
48:58.5,49:17.0,528557,38.16014013,-122.4532099,-22.0075,0.023,0.053,12,4
48:58.6,49:17.1,528557.1,38.16014022,-122.45321,-22.0058,0.024,0.054,12,4
48:58.7,49:17.2,528557.2,38.1601404,-122.45321,-22.0045,0.024,0.055,12,4
48:58.8,49:17.3,528557.3,38.16014065,-122.4532102,-22.0131,0.024,0.056,12,4
48:58.9,49:17.4,528557.4,38.160141,-122.4532103,-22.0143,0.025,0.056,12,4
48:59.0,49:17.5,528557.5,38.1601414,-122.4532105,-22.0158,0.025,0.057,12,4
48:59.1,49:17.6,528557.6,38.16014183,-122.4532107,-22.0162,0.025,0.058,12,4
48:59.2,49:17.7,528557.7,38.16014235,-122.4532109,-22.0067,0.026,0.058,12,4
48:59.3,49:17.8,528557.8,38.16014295,-122.4532111,-22.0046,0.026,0.059,12,4
48:59.4,49:17.9,528557.9,38.16014357,-122.4532114,-22.0234,0.026,0.06,12,4
48:59.5,49:18.0,528558,38.16014419,-122.4532117,-22.0209,0.026,0.06,12,4
48:59.6,49:18.1,528558.1,38.16014487,-122.453212,-22.0263,0.027,0.061,12,4
48:59.7,49:18.2,528558.2,38.1601456,-122.4532122,-22.0194,0.027,0.062,12,4
48:59.8,49:18.3,528558.3,38.16014632,-122.4532124,-22.0268,0.027,0.062,12,4
48:59.9,49:18.4,528558.4,38.16014706,-122.4532127,-22.0204,0.028,0.063,12,4
49:00.0,49:18.5,528558.5,38.16014776,-122.453213,-22.0243,0.028,0.063,12,4
49:00.1,49:18.6,528558.6,38.16014852,-122.4532133,-22.0252,0.028,0.064,12,4
49:00.2,49:18.7,528558.7,38.16014932,-122.4532136,-22.0191,0.022,0.051,12,4
49:00.3,49:18.8,528558.8,38.16015007,-122.4532139,-22.0236,0.022,0.052,12,4
