 voltage current power speed energy distance temperature batteryOK batteryVoltage ms
22625 25.23 0.01 0.44 0.73 59.84 173.63 0.0 1 0.0 2826857
22626 25.23 0.01 0.44 0.73 59.89 173.63 0.0 1 0.0 2826981
22627 25.23 0.01 0.44 0.68 59.95 173.82 0.0 1 0.0 2827104
22628 25.23 0.01 0.44 0.68 60.0 173.82 0.0 1 0.0 2827227
22629 25.23 0.01 0.44 0.68 60.06 173.82 0.0 1 0.0 2827351
22630 25.23 0.01 0.44 0.68 60.11 173.82 0.0 1 0.0 2827474
22631 25.23 0.01 0.44 0.68 60.17 173.82 0.0 1 0.0 2827598
22632 25.23 0.01 0.44 0.68 60.22 173.82 0.0 1 0.0 2827721
22633 25.23 0.01 0.44 0.68 60.28 173.82 0.0 1 0.0 2827849
22634 25.23 0.01 0.44 0.68 60.33 173.82 0.0 1 0.0 2827973
22635 25.23 0.01 0.44 0.68 60.39 173.82 0.0 1 0.0 2828096
22636 25.23 0.01 0.44 0.68 60.44 173.82 0.0 1 0.0 2828219
22637 25.23 0.01 0.44 0.68 60.5 173.82 0.0 1 0.0 2828343
22638 25.23 0.01 0.44 0.68 60.55 173.82 0.0 1 0.0 2828467
22639 25.23 0.01 0.44 0.68 60.61 173.82 0.0 1 0.0 2828602
22640 25.23 0.01 0.44 0.68 60.67 173.82 0.0 1 0.0 2828737
22641 25.23 0.01 0.44 0.68 60.72 173.82 0.0 1 0.0 2828861
22642 25.23 0.01 0.44 0.68 60.78 173.82 0.0 1 0.0 2828984
22643 25.23 0.01 0.44 0.0 60.84 173.82 0.0 1 0.0 2829112
22644 25.23 0.01 0.44 0.0 60.89 173.82 0.0 1 0.0 2829235
22645 25.23 0.01 0.44 0.0 60.94 173.82 0.0 1 0.0 2829360
22646 25.23 0.01 0.44 0.0 61.0 173.82 0.0 1 0.0 2829483
22647 25.23 0.01 0.44 0.0 61.05 173.82 0.0 1 0.0 2829607
22648 25.23 0.01 0.44 0.0 61.11 173.82 0.0 1 0.0 2829730
22649 25.23 0.01 0.44 0.0 61.16 173.82 0.0 1 0.0 2829853
22650 25.23 0.01 0.44 0.0 61.22 173.82 0.0 1 0.0 2829977
22651 25.23 0.01 0.44 0.0 61.27 173.82 0.0 1 0.0 2830100
22652 25.23 0.01 0.44 0.0 61.33 173.82 0.0 1 0.0 2830228
22653 25.23 0.01 0.44 0.0 61.38 173.82 0.0 1 0.0 2830352
22654 25.23 0.01 0.44 0.0 61.44 173.82 0.0 1 0.0 2830475
22655 25.23 0.01 0.44 0.28 61.49 174.0 0.0 1 0.0 2830598
22656 25.23 0.01 0.44 0.28 61.55 174.0 0.0 1 0.0 2830722
22657 25.23 0.01 0.44 0.28 61.6 174.0 0.0 1 0.0 2830845
22658 25.23 0.01 0.44 0.28 61.65 174.0 0.0 1 0.0 2830969
22659 25.23 0.01 0.44 0.28 61.71 174.0 0.0 1 0.0 2831092
22660 25.23 0.01 0.44 0.28 61.76 174.0 0.0 1 0.0 2831216
22661 25.23 0.01 0.44 0.28 61.82 174.0 0.0 1 0.0 2831350
22662 25.23 0.01 0.44 0.28 61.88 174.0 0.0 1 0.0 2831473
22663 25.23 0.06 1.58 0.28 62.07 174.0 0.0 1 0.0 2831596
22664 25.23 0.06 1.58 0.28 62.27 174.0 0.0 1 0.0 2831720
22665 25.18 1.27 32.1 0.28 66.25 174.0 0.0 1 0.0 2831843
22666 25.01 5.62 140.57 0.23 83.54 174.19 0.0 1 0.0 2831967
22667 25.01 5.46 136.69 0.23 101.99 174.19 0.0 1 0.0 2832101
22668 25.04 4.69 117.43 0.23 116.43 174.19 0.0 1 0.0 2832225
22669 25.06 4.19 105.11 0.23 129.47 174.38 0.0 1 0.0 2832348
22670 25.09 3.22 80.85 0.23 139.82 174.56 0.0 1 0.0 2832476
22671 25.12 2.29 57.6 0.23 147.59 174.56 0.0 1 0.0 2832612
22672 25.14 1.76 44.38 0.23 153.09 174.75 0.0 1 0.0 2832735
22673 25.15 1.62 40.8 0.24 158.11 174.94 0.0 1 0.0 2832859
22674 25.15 1.62 40.8 0.25 163.17 175.12 0.0 1 0.0 2832982
22675 25.07 3.74 93.82 0.25 174.71 175.12 0.0 1 0.0 2833106
22676 24.83 9.69 240.7 0.56 204.56 175.31 0.0 1 0.0 2833229
22677 24.66 14.46 356.69 1.15 248.43 175.5 0.0 1 0.0 2833353
22678 24.62 15.11 372.09 1.48 294.57 175.87 0.0 1 0.0 2833477
22679 24.62 14.36 353.54 1.62 339.82 176.06 0.0 1 0.0 2833605
22680 24.67 13.31 328.39 1.76 380.22 176.24 0.0 1 0.0 2833728
22681 24.73 11.58 286.47 2.07 415.74 176.62 0.0 1 0.0 2833851
22682 24.75 10.67 264.25 2.2 448.24 176.8 0.0 1 0.0 2833975
22683 24.75 10.67 264.25 2.43 481.01 177.18 0.0 1 0.0 2834099
22684 24.8 9.51 235.92 2.51 510.26 177.36 0.0 1 0.0 2834222
22685 24.75 10.51 260.27 2.66 542.27 177.73 0.0 1 0.0 2834346
22686 24.61 14.24 350.42 2.81 585.73 178.11 0.0 1 0.0 2834469
22687 24.6 14.28 351.4 2.98 630.71 178.48 0.0 1 0.0 2834597
22688 24.64 12.68 312.47 3.07 669.14 178.67 0.0 1 0.0 2834721
22689 24.66 12.5 308.23 3.22 707.36 179.04 0.0 1 0.0 2834844
22690 24.69 11.4 281.46 3.31 741.98 179.41 0.0 1 0.0 2834968
22691 24.71 10.94 270.31 3.46 775.5 179.97 0.0 1 0.0 2835091
22692 24.71 10.94 270.31 3.56 809.02 180.35 0.0 1 0.0 2835215
22693 24.76 9.68 239.7 3.65 838.5 180.72 0.0 1 0.0 2835338
22694 24.73 10.44 258.16 3.73 873.09 181.09 0.0 1 0.0 2835473
22695 24.6 13.34 328.15 3.85 913.79 181.65 0.0 1 0.0 2835597
22696 24.57 14.37 353.03 3.93 958.97 182.02 0.0 1 0.0 2835725
22697 24.56 14.56 357.7 3.97 1002.97 182.4 0.0 1 0.0 2835848
22698 24.59 13.62 334.86 4.06 1046.5 182.96 0.0 1 0.0 2835978
22699 24.61 12.89 317.35 4.09 1087.76 183.33 0.0 1 0.0 2836107
22700 24.63 12.43 306.23 4.15 1127.57 183.89 0.0 1 0.0 2836237
22701 24.64 11.92 293.69 4.25 1169.27 184.45 0.0 1 0.0 2836379
22702 24.68 10.89 268.85 4.36 1203.95 185.01 0.0 1 0.0 2836509
22703 24.69 10.3 254.3 4.39 1237.01 185.38 0.0 1 0.0 2836639
22704 24.69 10.3 254.3 4.5 1270.07 185.94 0.0 1 0.0 2836769
22705 24.71 9.87 243.99 4.57 1302.77 186.5 0.0 1 0.0 2836903
22706 24.59 13.05 320.9 4.63 1342.24 187.06 0.0 1 0.0 2837026
22707 24.56 13.53 332.28 4.72 1385.43 187.62 0.0 1 0.0 2837156
22708 24.59 13.54 332.95 4.76 1428.72 187.99 0.0 1 0.0 2837285
22709 24.49 15.14 370.88 4.83 1476.93 188.55 0.0 1 0.0 2837415
22710 24.4 17.43 425.37 4.92 1531.8 189.3 0.0 1 0.0 2837545
22711 24.42 16.99 414.79 4.97 1585.73 189.86 0.0 1 0.0 2837675
22712 24.4 17.41 424.74 5.07 1640.94 190.42 0.0 1 0.0 2837805
22713 24.3 19.49 473.68 5.16 1704.42 190.98 0.0 1 0.0 2837939
22714 24.17 22.95 554.79 5.23 1776.54 191.54 0.0 1 0.0 2838068
22715 24.14 23.1 557.66 5.34 1849.04 192.1 0.0 1 0.0 2838198
22716 24.1 24.22 583.61 5.43 1924.32 192.84 0.0 1 0.0 2838328
22717 24.12 23.87 575.81 5.59 1999.18 193.4 0.0 1 0.0 2838458
22718 24.12 23.87 575.81 5.72 2074.03 194.15 0.0 1 0.0 2838588
22719 24.05 24.72 594.58 5.73 2151.33 194.71 0.0 1 0.0 2838717
22720 24.07 24.05 578.97 5.83 2226.01 195.45 0.0 1 0.0 2838847
22721 24.08 23.26 560.16 5.91 2305.0 196.2 0.0 1 0.0 2838988
22722 24.12 22.3 537.84 6.01 2386.75 196.94 0.0 1 0.0 2839140
22723 24.17 21.03 508.28 6.08 2452.82 197.69 0.0 1 0.0 2839269
22724 24.22 19.53 473.06 6.15 2514.32 198.44 0.0 1 0.0 2839399
22725 24.57 10.76 264.35 6.16 2548.42 199.0 0.0 1 0.0 2839529
22726 24.58 10.69 262.83 6.19 2582.59 199.74 0.0 1 0.0 2839659
22727 24.49 12.92 316.55 6.24 2623.74 200.49 0.0 1 0.0 2839788
22728 24.49 12.84 314.42 6.28 2664.3 201.23 0.0 1 0.0 2839918
22729 24.52 12.25 300.28 6.32 2703.34 201.98 0.0 1 0.0 2840048
22730 24.52 12.23 299.91 6.35 2743.83 202.73 0.0 1 0.0 2840182
22731 24.54 11.56 283.73 6.37 2784.12 203.47 0.0 1 0.0 2840324
22732 24.57 10.86 266.79 6.42 2818.8 204.22 0.0 1 0.0 2840454
22733 24.61 9.8 241.26 6.46 2849.92 204.96 0.0 1 0.0 2840584
22734 24.6 10.38 255.37 6.48 2881.59 205.71 0.0 1 0.0 2840707
22735 24.64 9.46 233.05 6.52 2911.89 206.46 0.0 1 0.0 2840837
22736 24.64 9.46 233.05 6.55 2940.55 207.01 0.0 1 0.0 2840961
22737 24.62 9.62 236.87 6.55 2969.92 207.76 0.0 1 0.0 2841084
22738 24.64 9.45 232.87 6.59 2998.57 208.51 0.0 1 0.0 2841208
22739 24.47 13.76 336.75 6.63 3041.67 209.25 0.0 1 0.0 2841336
22740 24.32 17.32 421.39 6.73 3096.45 210.0 0.0 1 0.0 2841466
22741 24.15 21.72 524.56 6.77 3164.64 210.74 0.0 1 0.0 2841596
22742 24.02 24.94 599.12 6.87 3242.53 211.49 0.0 1 0.0 2841725
22743 24.02 24.12 579.54 6.96 3317.29 212.42 0.0 1 0.0 2841855
22744 24.01 25.12 603.04 7.02 3395.68 213.17 0.0 1 0.0 2841985
22745 23.84 28.24 673.21 7.07 3483.2 213.92 0.0 1 0.0 2842115
22746 23.89 27.28 651.79 7.2 3567.93 214.85 0.0 1 0.0 2842244
