pc_time,gps_time,tow(sec),north(meters),east(meters),down(meters),h_accuracy(meters),v_accuracy(meters),distance(meters),num_sats,flags,num_hypothesis
2018-04-20 19:48:53.533442,2018-04-21 02:49:12.000000,528552.000,33.4720,7.3770,0.5850,0.0260,0.0570,34.2803,12,4,0
2018-04-20 19:48:53.626168,2018-04-21 02:49:12.100000,528552.100,33.4740,7.3810,0.5730,0.0260,0.0570,34.2829,12,4,0
2018-04-20 19:48:53.733394,2018-04-21 02:49:12.200000,528552.200,33.4770,7.3810,0.5780,0.0260,0.0580,34.2859,12,4,0
2018-04-20 19:48:53.821602,2018-04-21 02:49:12.300000,528552.300,33.4750,7.3810,0.5740,0.0270,0.0580,34.2839,12,4,0
2018-04-20 19:48:53.934151,2018-04-21 02:49:12.400000,528552.400,33.4770,7.3820,0.5660,0.0270,0.0590,34.2859,12,4,0
2018-04-20 19:48:54.029784,2018-04-21 02:49:12.500000,528552.500,33.4760,7.3840,0.5770,0.0270,0.0590,34.2856,12,4,0
2018-04-20 19:48:54.138570,2018-04-21 02:49:12.600000,528552.600,33.4760,7.3840,0.5750,0.0270,0.0600,34.2855,12,4,0
2018-04-20 19:48:54.220390,2018-04-21 02:49:12.700000,528552.700,33.4880,7.3770,0.5660,0.0220,0.0480,34.2956,12,4,0
2018-04-20 19:48:54.331393,2018-04-21 02:49:12.800000,528552.800,33.4880,7.3760,0.5630,0.0220,0.0490,34.2953,12,4,0
2018-04-20 19:48:54.424642,2018-04-21 02:49:12.900000,528552.900,33.4850,7.3750,0.5670,0.0220,0.0500,34.2922,12,4,0
2018-04-20 19:48:54.531618,2018-04-21 02:49:13.000000,528553.000,33.4870,7.3760,0.5670,0.0230,0.0500,34.2944,12,4,0
2018-04-20 19:48:54.622219,2018-04-21 02:49:13.100000,528553.100,33.4890,7.3760,0.5690,0.0230,0.0510,34.2964,12,4,0
2018-04-20 19:48:54.730420,2018-04-21 02:49:13.200000,528553.200,33.4870,7.3770,0.5640,0.0240,0.0520,34.2946,12,4,0
2018-04-20 19:48:54.819888,2018-04-21 02:49:13.300000,528553.300,33.4890,7.3780,0.5590,0.0240,0.0520,34.2967,12,4,0
2018-04-20 19:48:54.928775,2018-04-21 02:49:13.400000,528553.400,33.4880,7.3800,0.5550,0.0240,0.0530,34.2960,12,4,0
2018-04-20 19:48:55.019507,2018-04-21 02:49:13.500000,528553.500,33.4820,7.3760,0.5230,0.0240,0.0530,34.2888,12,4,0
2018-04-20 19:48:55.130719,2018-04-21 02:49:13.600000,528553.600,33.4800,7.3750,0.5350,0.0250,0.0540,34.2868,12,4,0
2018-04-20 19:48:55.221787,2018-04-21 02:49:13.700000,528553.700,33.4830,7.3790,0.5470,0.0250,0.0550,34.2908,12,4,0
2018-04-20 19:48:55.333449,2018-04-21 02:49:13.800000,528553.800,33.4870,7.3860,0.5660,0.0260,0.0590,34.2965,12,4,0
2018-04-20 19:48:55.426431,2018-04-21 02:49:13.900000,528553.900,33.4840,7.3840,0.5650,0.0260,0.0600,34.2932,12,4,0
2018-04-20 19:48:55.536913,2018-04-21 02:49:14.000000,528554.000,33.4780,7.3780,0.5890,0.0260,0.0600,34.2864,12,4,0
2018-04-20 19:48:55.629517,2018-04-21 02:49:14.100000,528554.100,33.4810,7.3810,0.5860,0.0260,0.0610,34.2899,12,4,0
2018-04-20 19:48:55.737485,2018-04-21 02:49:14.200000,528554.200,33.4710,7.3680,0.5560,0.0270,0.0610,34.2769,12,4,0
2018-04-20 19:48:55.836149,2018-04-21 02:49:14.300000,528554.300,33.4790,7.3760,0.5870,0.0270,0.0630,34.2869,12,4,0
2018-04-20 19:48:55.943569,2018-04-21 02:49:14.400000,528554.400,33.4840,7.3770,0.5810,0.0270,0.0630,34.2919,12,4,0
2018-04-20 19:48:56.028227,2018-04-21 02:49:14.500000,528554.500,33.4850,7.3660,0.5710,0.0280,0.0630,34.2904,12,4,0
2018-04-20 19:48:56.133670,2018-04-21 02:49:14.600000,528554.600,33.4880,7.3640,0.5720,0.0280,0.0640,34.2929,12,4,0
2018-04-20 19:48:56.223627,2018-04-21 02:49:14.700000,528554.700,33.5080,7.3730,0.5950,0.0280,0.0650,34.3147,12,4,0
2018-04-20 19:48:56.326920,2018-04-21 02:49:14.800000,528554.800,33.5230,7.3690,0.5870,0.0220,0.0520,34.3284,12,4,0
2018-04-20 19:48:56.419229,2018-04-21 02:49:14.900000,528554.900,33.5310,7.3660,0.5900,0.0230,0.0530,34.3356,12,4,0
