pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags
2018-04-20 19:48:53.530924,2018-04-21 02:49:12.000000,528552.000,38.1601365974,-122.4532082243,-22.0129,0.0260,0.0570,12,4
2018-04-20 19:48:53.624106,2018-04-21 02:49:12.100000,528552.100,38.1601366162,-122.4532081800,-22.0011,0.0260,0.0570,12,4
2018-04-20 19:48:53.731025,2018-04-21 02:49:12.200000,528552.200,38.1601366377,-122.4532081765,-22.0061,0.0260,0.0580,12,4
2018-04-20 19:48:53.819421,2018-04-21 02:49:12.300000,528552.300,38.1601366227,-122.4532081794,-22.0024,0.0270,0.0580,12,4
2018-04-20 19:48:53.932137,2018-04-21 02:49:12.400000,528552.400,38.1601366396,-122.4532081625,-21.9947,0.0270,0.0590,12,4
2018-04-20 19:48:54.027666,2018-04-21 02:49:12.500000,528552.500,38.1601366339,-122.4532081388,-22.0054,0.0270,0.0590,12,4
2018-04-20 19:48:54.136450,2018-04-21 02:49:12.600000,528552.600,38.1601366356,-122.4532081432,-22.0035,0.0270,0.0600,12,4
2018-04-20 19:48:54.216946,2018-04-21 02:49:12.700000,528552.700,38.1601367405,-122.4532082203,-21.9941,0.0220,0.0480,12,4
2018-04-20 19:48:54.328839,2018-04-21 02:49:12.800000,528552.800,38.1601367414,-122.4532082327,-21.9911,0.0220,0.0490,12,4
2018-04-20 19:48:54.417362,2018-04-21 02:49:12.900000,528552.900,38.1601367099,-122.4532082470,-21.9951,0.0220,0.0500,12,4
2018-04-20 19:48:54.529092,2018-04-21 02:49:13.000000,528553.000,38.1601367346,-122.4532082327,-21.9956,0.0230,0.0500,12,4
2018-04-20 19:48:54.619115,2018-04-21 02:49:13.100000,528553.100,38.1601367544,-122.4532082269,-21.9974,0.0230,0.0510,12,4
2018-04-20 19:48:54.725848,2018-04-21 02:49:13.200000,528553.200,38.1601367309,-122.4532082240,-21.9927,0.0240,0.0520,12,4
2018-04-20 19:48:54.817208,2018-04-21 02:49:13.300000,528553.300,38.1601367521,-122.4532082105,-21.9874,0.0240,0.0520,12,4
2018-04-20 19:48:54.926484,2018-04-21 02:49:13.400000,528553.400,38.1601367447,-122.4532081824,-21.9836,0.0240,0.0530,12,4
2018-04-20 19:48:55.017004,2018-04-21 02:49:13.500000,528553.500,38.1601366825,-122.4532082356,-21.9513,0.0240,0.0530,12,4
2018-04-20 19:48:55.127914,2018-04-21 02:49:13.600000,528553.600,38.1601366648,-122.4532082434,-21.9636,0.0250,0.0540,12,4
2018-04-20 19:48:55.219172,2018-04-21 02:49:13.700000,528553.700,38.1601366925,-122.4532081919,-21.9757,0.0250,0.0550,12,4
2018-04-20 19:48:55.330234,2018-04-21 02:49:13.800000,528553.800,38.1601367299,-122.4532081149,-21.9941,0.0260,0.0590,12,4
2018-04-20 19:48:55.423250,2018-04-21 02:49:13.900000,528553.900,38.1601367042,-122.4532081381,-21.9929,0.0260,0.0600,12,4
2018-04-20 19:48:55.534675,2018-04-21 02:49:14.000000,528554.000,38.1601366512,-122.4532082049,-22.0176,0.0260,0.0600,12,4
2018-04-20 19:48:55.626811,2018-04-21 02:49:14.100000,528554.100,38.1601366813,-122.4532081782,-22.0141,0.0260,0.0610,12,4
2018-04-20 19:48:55.735074,2018-04-21 02:49:14.200000,528554.200,38.1601365886,-122.4532083277,-21.9845,0.0270,0.0610,12,4
2018-04-20 19:48:55.832621,2018-04-21 02:49:14.300000,528554.300,38.1601366591,-122.4532082323,-22.0151,0.0270,0.0630,12,4
2018-04-20 19:48:55.940999,2018-04-21 02:49:14.400000,528554.400,38.1601367048,-122.4532082252,-22.0090,0.0270,0.0630,12,4
2018-04-20 19:48:56.025870,2018-04-21 02:49:14.500000,528554.500,38.1601367160,-122.4532083402,-21.9993,0.0280,0.0630,12,4
2018-04-20 19:48:56.131567,2018-04-21 02:49:14.600000,528554.600,38.1601367452,-122.4532083694,-22.0007,0.0280,0.0640,12,4
2018-04-20 19:48:56.221185,2018-04-21 02:49:14.700000,528554.700,38.1601369198,-122.4532082689,-22.0233,0.0280,0.0650,12,4
2018-04-20 19:48:56.324835,2018-04-21 02:49:14.800000,528554.800,38.1601370579,-122.4532083106,-22.0152,0.0220,0.0520,12,4
2018-04-20 19:48:56.416908,2018-04-21 02:49:14.900000,528554.900,38.1601371307,-122.4532083435,-22.0186,0.0230,0.0530,12,4
2018-04-20 19:48:56.528342,2018-04-21 02:49:15.000000,528555.000,38.1601372025,-122.4532084620,-22.0251,0.0230,0.0530,12,4
2018-04-20 19:48:56.618048,2018-04-21 02:49:15.100000,528555.100,38.1601373215,-122.4532085404,-22.0272,0.0240,0.0540,12,4
2018-04-20 19:48:56.726631,2018-04-21 02:49:15.200000,528555.200,38.1601374652,-122.4532085929,-22.0314,0.0240,0.0550,12,4
2018-04-20 19:48:56.816294,2018-04-21 02:49:15.300000,528555.300,38.1601376607,-122.4532086775,-22.0262,0.0240,0.0560,12,4
2018-04-20 19:48:56.928461,2018-04-21 02:49:15.400000,528555.400,38.1601378456,-122.4532087827,-22.0234,0.0250,0.0560,12,4
2018-04-20 19:48:57.014250,2018-04-21 02:49:15.500000,528555.500,38.1601381033,-122.4532088404,-22.0134,0.0250,0.0570,12,4
2018-04-20 19:48:57.128360,2018-04-21 02:49:15.600000,528555.600,38.1601383676,-122.4532089398,-22.0111,0.0250,0.0580,12,4
2018-04-20 19:48:57.215845,2018-04-21 02:49:15.700000,528555.700,38.1601385733,-122.4532091162,-22.0098,0.0260,0.0590,12,4
2018-04-20 19:48:57.330772,2018-04-21 02:49:15.800000,528555.800,38.1601388178,-122.4532092682,-22.0096,0.0260,0.0590,12,4
2018-04-20 19:48:57.420134,2018-04-21 02:49:15.900000,528555.900,38.1601390886,-122.4532093981,-22.0149,0.0260,0.0600,12,4
2018-04-20 19:48:57.533970,2018-04-21 02:49:16.000000,528556.000,38.1601393077,-122.4532095220,-22.0218,0.0270,0.0610,12,4
2018-04-20 19:48:57.621008,2018-04-21 02:49:16.100000,528556.100,38.1601395523,-122.4532096024,-22.0170,0.0270,0.0610,12,4
2018-04-20 19:48:57.734235,2018-04-21 02:49:16.200000,528556.200,38.1601397213,-122.4532096388,-22.0147,0.0270,0.0620,12,4
