pc_time,gps_time,tow(sec),north(m/s),east(m/s),down(m/s),speed(m/s),flags,num_signals
2018-04-20 19:48:53.532076,2018-04-21 02:49:12.000000,528552.000,-0.008000,-0.023000,-0.013000,0.024352,1,12
2018-04-20 19:48:53.625103,2018-04-21 02:49:12.100000,528552.100,0.022000,0.030000,-0.083000,0.037202,1,12
2018-04-20 19:48:53.732198,2018-04-21 02:49:12.200000,528552.200,0.028000,0.006000,0.040000,0.028636,1,12
2018-04-20 19:48:53.820487,2018-04-21 02:49:12.300000,528552.300,-0.015000,-0.004000,-0.016000,0.015524,1,12
2018-04-20 19:48:53.933086,2018-04-21 02:49:12.400000,528552.400,0.011000,0.008000,-0.058000,0.013601,1,12
2018-04-20 19:48:54.028699,2018-04-21 02:49:12.500000,528552.500,0.002000,0.020000,0.047000,0.020100,1,12
2018-04-20 19:48:54.137513,2018-04-21 02:49:12.600000,528552.600,0.002000,-0.002000,-0.007000,0.002828,1,12
2018-04-20 19:48:54.218264,2018-04-21 02:49:12.700000,528552.700,0.037000,-0.011000,-0.106000,0.038601,1,12
2018-04-20 19:48:54.330347,2018-04-21 02:49:12.800000,528552.800,0.001000,-0.015000,-0.025000,0.015033,1,12
2018-04-20 19:48:54.419830,2018-04-21 02:49:12.900000,528552.900,-0.033000,-0.013000,0.052000,0.035468,1,12
2018-04-20 19:48:54.530343,2018-04-21 02:49:13.000000,528553.000,0.029000,0.012000,-0.013000,0.031385,1,12
2018-04-20 19:48:54.620549,2018-04-21 02:49:13.100000,528553.100,0.023000,0.003000,0.010000,0.023195,1,12
2018-04-20 19:48:54.728505,2018-04-21 02:49:13.200000,528553.200,-0.026000,0.000000,-0.015000,0.026000,1,12
2018-04-20 19:48:54.818484,2018-04-21 02:49:13.300000,528553.300,0.023000,0.006000,0.004000,0.023770,1,12
2018-04-20 19:48:54.927633,2018-04-21 02:49:13.400000,528553.400,-0.005000,0.028000,-0.078000,0.028443,1,12
2018-04-20 19:48:55.018225,2018-04-21 02:49:13.500000,528553.500,-0.070000,-0.052000,-0.222000,0.087201,1,12
2018-04-20 19:48:55.129024,2018-04-21 02:49:13.600000,528553.600,-0.019000,-0.012000,0.137000,0.022472,1,12
